FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,year,week,Timeline
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,120,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,40,0,250,0,0,0,1,0,0,0,Swansea,Hull City,Liverpool,Leicester,Stoke,2016,8,Y16W8
Charlie,Adam,MID,STK,4700000,1,1,0.0416666666666667,8.86524822695035e-09,2.1276595744680886e-07,0,3036,2,1,0,0,0,0,0,0.2,114,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,720,0,109,0,0,51,60,0,0,-4,Hull City,Swansea,West Ham,Bournemouth,Watford,2016,8,Y16W8
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,9742,0,2,0,0,0,0,0,0.6,82,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,629,0,0,0,0,122,1,0,0,6,Arsenal,Bournemouth,Man City,Chelsea,Leicester,2016,8,Y16W8
,Adrian,GLK,WHU,5000000,8,27,3.4,6.8e-07,5.400000000000002e-06,0,55470,0,17,0,28,0,0,0,5.4,2162,0,0,27,0,0.9,0,4.3,3,0,2,0,0,2.9,48234,0,356,0,0,720,2662,0,0,147,Sunderland,Everton,Stoke,Tottenham,Man Utd,2016,8,Y16W8
Ibrahim,Afellay,MID,STK,5400000,0,0,0.0,0.0,0.0,0,357,0,0,0,0,0,0,0,0.0,14,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,114,0,270,0,0,0,13,0,0,0,Hull City,Swansea,West Ham,Bournemouth,Watford,2016,8,Y16W8
Benik,Afobe,FWD,BOU,5600000,1,4,0.166666666666667,2.97619047619048e-08,7.142857142857141e-07,0,19173,0,0,0,0,0,0,0,0.7,554,-4,0,4,4,0.2,0,1.0,0,0,0,0,0,0.3,3353,0,146,0,0,30,336,0,0,10,Tottenham,Middlesbrough,Sunderland,Stoke,Arsenal,2016,8,Y16W8
Sergio,Aguero,FWD,MCI,13100000,-1,38,6.3,4.809160305343511e-07,2.90076335877863e-06,0,1296003,0,7,0,0,0,5,0,2.9,58759,1,0,38,-1,0.4,1,4.7,9,0,0,0,0,44.4,1319477,0,789,0,2,474,37873,0,0,149,Southampton,West Brom,Middlesbrough,Crystal Palace,Burnley,2016,8,Y16W8
Ola,Aina,DEF,CHE,4700000,1,1,0.0416666666666667,8.86524822695035e-09,2.1276595744680886e-07,0,3949,0,0,0,0,0,0,0,0.2,78,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,299,0,0,0,0,9,23,0,0,3,Man Utd,Southampton,Everton,Middlesbrough,Tottenham,2016,8,Y16W8
Nathan,Ake,DEF,BOU,4300000,0,2,0.0833333333333333,1.93798449612403e-08,4.65116279069767e-07,0,35021,0,2,0,0,0,0,0,0.5,1733,-2,0,2,2,0.0,0,0.0,0,0,0,0,0,1.0,4172,0,232,0,0,15,180,0,0,6,Tottenham,Middlesbrough,Sunderland,Stoke,Arsenal,2016,8,Y16W8
Chuba,Akpom,FWD,ARS,5200000,0,0,0.0,0.0,0.0,0,7869,0,0,0,0,0,0,0,0.0,199,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1031,0,0,0,0,0,17,0,0,0,Middlesbrough,Sunderland,Tottenham,Man Utd,Bournemouth,2016,8,Y16W8
